;price ;earnings ;cpi;rates
43009;2557;108.01;246.663;2.36
43040;2593.61;108.95;246.669;2.35
43070;2664.34;109.88;246.524;2.4
43101;2789.8;111.73;247.867;2.58
43132;2705.16;113.59;248.991;2.86
43160;2702.77;115.44;249.554;2.84
43191;2653.63;117.79;250.546;2.87
43221;2701.49;120.13;251.588;2.98
43252;2754.35;122.48;251.989;2.91
43282;2793.64;125.12;252.006;2.89
43313;2857.82;127.75;252.146;2.89
43344;2901.5;130.39;252.439;3
